iter	Passed	Remaining
0	0	74
1	1	66
2	1	60
3	2	56
4	2	55
5	3	54
6	4	53
7	4	52
8	5	51
9	5	51
10	6	50
11	6	49
12	7	48
13	7	48
14	8	47
15	8	46
16	9	46
17	10	45
18	10	45
19	11	44
20	11	43
21	12	43
22	12	43
23	13	42
24	13	41
25	14	41
26	15	40
27	15	40
28	16	40
29	17	40
30	17	39
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	31	27
53	31	27
54	32	26
55	33	25
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	15
73	43	15
74	44	14
75	44	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	54	5
91	54	4
92	55	4
93	55	3
94	56	2
95	57	2
96	57	1
97	58	1
98	59	0
99	59	0
