iter	Passed	Remaining
0	149	149512
1	150	74999
2	150	50152
3	151	37719
4	152	30265
5	152	25298
6	153	21741
7	153	19075
8	154	17000
9	154	15343
10	155	13988
11	156	12857
12	156	11899
13	157	11080
14	157	10369
15	158	9746
16	159	9196
17	159	8707
18	160	8269
19	160	7875
20	161	7519
21	161	7195
22	162	6899
23	162	6628
24	163	6378
25	164	6149
26	164	5936
27	165	5737
28	165	5552
29	166	5379
30	166	5217
31	167	5065
32	168	4922
33	168	4789
34	169	4663
35	169	4546
36	170	4434
37	170	4327
38	171	4225
39	172	4128
40	172	4036
41	173	3949
42	173	3866
43	174	3787
44	174	3710
45	175	3637
46	175	3568
47	176	3510
48	177	3447
49	178	3386
50	178	3326
51	179	3272
52	180	3217
53	180	3164
54	181	3113
55	181	3064
56	182	3016
57	183	2972
58	183	2928
59	184	2885
60	184	2844
61	185	2803
62	185	2764
63	186	2726
64	187	2690
65	187	2654
66	188	2619
67	188	2586
68	189	2553
69	189	2521
70	190	2491
71	191	2461
72	191	2432
73	192	2403
74	192	2375
75	193	2348
76	193	2322
77	194	2296
78	194	2270
79	195	2246
80	195	2222
81	196	2198
82	196	2173
83	197	2151
84	197	2129
85	198	2109
86	199	2088
87	199	2068
88	200	2048
89	200	2029
90	201	2009
91	201	1991
92	202	1972
93	202	1955
94	203	1937
95	204	1921
96	204	1904
97	205	1888
98	205	1874
99	206	1858
100	207	1842
101	207	1827
102	208	1812
103	208	1798
104	209	1783
105	209	1769
106	210	1755
107	210	1741
108	211	1728
109	212	1716
110	212	1703
111	213	1691
112	213	1678
113	214	1666
114	214	1654
115	215	1642
116	215	1629
117	216	1618
118	217	1606
119	217	1596
120	218	1585
121	218	1574
122	219	1563
123	219	1553
124	220	1542
125	220	1532
126	221	1521
127	221	1511
128	222	1502
129	222	1492
130	223	1482
131	224	1473
132	224	1463
133	225	1454
134	225	1445
135	226	1436
136	226	1428
137	227	1420
138	227	1411
139	228	1403
140	228	1395
141	229	1385
142	229	1378
143	230	1370
144	231	1362
145	231	1355
146	232	1348
147	232	1340
148	233	1333
149	233	1325
150	234	1318
151	235	1311
152	235	1304
153	236	1297
154	236	1290
155	237	1284
156	237	1277
157	238	1271
158	239	1264
159	239	1257
160	239	1250
161	240	1243
162	240	1237
163	241	1231
164	242	1225
165	242	1219
166	243	1213
167	243	1207
168	244	1201
169	244	1195
170	245	1190
171	246	1184
172	246	1178
173	247	1173
174	247	1167
175	248	1162
176	248	1156
177	249	1151
178	249	1145
179	250	1140
180	250	1135
181	251	1130
182	251	1124
183	252	1119
184	252	1114
185	253	1109
186	254	1104
187	254	1099
188	255	1094
189	255	1090
190	256	1085
191	256	1081
192	257	1076
193	258	1071
194	258	1067
195	259	1063
196	259	1058
197	260	1054
198	260	1050
199	261	1045
200	261	1041
201	262	1037
202	263	1032
203	263	1028
204	264	1024
205	264	1020
206	265	1016
207	265	1012
208	266	1008
209	266	1004
210	267	1000
211	267	996
212	268	992
213	269	988
214	269	984
215	270	980
216	270	976
217	271	973
218	271	969
219	272	965
220	272	962
221	273	958
222	274	954
223	274	951
224	275	947
225	275	943
226	276	940
227	276	936
228	277	933
229	277	929
230	278	926
231	278	922
232	279	919
233	279	916
234	280	912
235	280	909
236	281	906
237	282	902
238	282	899
239	283	896
240	283	893
241	284	889
242	284	886
243	285	883
244	285	880
245	286	877
246	287	875
247	287	872
248	288	869
249	288	866
250	289	863
251	289	860
252	290	857
253	290	854
254	291	851
255	291	848
256	292	845
257	292	842
258	293	839
259	293	836
260	294	834
261	295	831
262	295	828
263	296	825
264	296	823
265	297	820
266	297	817
267	298	814
268	298	812
269	299	809
270	300	807
271	300	804
272	301	802
273	301	799
274	302	797
275	303	794
276	303	792
277	304	789
278	304	787
279	305	785
280	305	782
281	306	780
282	307	777
283	307	775
284	308	773
285	308	770
286	309	768
287	309	765
288	310	763
289	310	761
290	311	759
291	312	756
292	312	754
293	313	752
294	313	749
295	314	747
296	315	745
297	315	743
298	316	741
299	316	739
300	317	737
301	317	734
302	318	732
303	319	730
304	319	728
305	320	726
306	320	723
307	321	721
308	321	719
309	322	717
310	322	715
311	323	713
312	323	710
313	324	708
314	324	706
315	325	704
316	326	702
317	326	700
318	327	698
319	327	696
320	328	694
321	328	692
322	329	690
323	329	688
324	330	686
325	331	684
326	331	682
327	332	680
328	332	678
329	333	676
330	333	674
331	334	672
332	335	671
333	335	669
334	336	667
335	336	665
336	337	663
337	337	661
338	338	659
339	338	657
340	339	656
341	339	654
342	340	652
343	341	650
344	341	648
345	342	646
346	342	645
347	343	643
348	344	641
349	344	639
350	345	638
351	345	636
352	346	634
353	346	633
354	347	631
355	348	629
356	348	627
357	349	626
358	349	624
359	350	622
360	350	621
361	351	619
362	352	617
363	352	616
364	353	614
365	353	613
366	354	611
367	355	609
368	355	608
369	356	606
370	357	605
371	357	603
372	358	602
373	359	600
374	359	599
375	360	598
376	360	596
377	361	594
378	362	593
379	362	591
380	363	590
381	363	588
382	364	587
383	364	585
384	365	584
385	366	582
386	366	581
387	367	579
388	368	578
389	368	576
390	369	575
391	369	573
392	370	572
393	371	570
394	371	569
395	372	568
396	373	566
397	373	565
398	374	563
399	375	562
400	375	561
401	376	559
402	377	558
403	377	557
404	378	555
405	378	554
406	379	552
407	379	551
408	380	549
409	381	548
410	381	547
411	382	545
412	382	544
413	383	542
414	384	541
415	384	540
416	385	538
417	385	537
418	386	535
419	387	534
420	387	533
421	388	531
422	388	530
423	389	529
424	390	528
425	390	526
426	391	525
427	392	523
428	392	522
429	393	521
430	393	519
431	394	518
432	394	517
433	395	515
434	396	514
435	396	513
436	397	511
437	397	510
438	398	509
439	399	508
440	399	506
441	400	505
442	401	504
443	401	503
444	402	501
445	402	500
446	403	499
447	404	497
448	404	496
449	405	495
450	405	494
451	406	492
452	407	491
453	407	490
454	408	488
455	408	487
456	409	486
457	409	485
458	410	483
459	411	482
460	411	481
461	412	480
462	412	478
463	413	477
464	414	476
465	414	475
466	415	474
467	416	472
468	416	471
469	417	470
470	417	469
471	418	468
472	419	466
473	419	465
474	420	464
475	420	463
476	421	461
477	421	460
478	422	459
479	423	458
480	423	457
481	424	455
482	424	454
483	425	453
484	426	452
485	426	451
486	427	449
487	427	448
488	428	447
489	428	446
490	429	445
491	430	444
492	430	443
493	431	441
494	432	440
495	432	439
496	433	438
497	433	437
498	434	436
499	434	434
500	435	433
501	436	432
502	436	431
503	437	430
504	437	429
505	438	428
506	439	427
507	439	425
508	440	424
509	441	423
510	441	422
511	442	421
512	443	420
513	443	419
514	444	418
515	444	417
516	445	416
517	446	415
518	446	414
519	447	412
520	448	411
521	448	410
522	449	409
523	449	408
524	450	407
525	450	406
526	451	405
527	452	404
528	452	403
